ID_PEDealCountCate,PEDealCountType,DealTypeLevel_Menu,Displayed PEDealCountType,Ranking of PEDealCountType in MsAccess,Display PEDealCountType in Databank,Ranking of PEDealCountType in Databank,PEDeal_calcu,Note_internal,Example,xFirm_SubCate_Lv2,xDisplay Firm_SubCate_Lv1 in Databank,xRanking of Firm_SubCate_Lv1 in Databank
1,"GP Deal Asia (by Asia Fund / Asia Firm if no fund)","InvestorRD Level","GP Deal",11,,,"GPDealAsia",,,,,
2,"GP Deal Non-Asia (by Non-Asia Fund / Non-Asia Firm if no fund)","InvestorRD Level","GP Deal",12,,,"GPDealNonAsia",,,,,
3,"LP Deal Asia (by Asia Fund / Asia Firm if no fund)","InvestorRD Level","LP Deal",41,,,"LPDealAsia",,,,,
4,"LP Deal Non-Asia (by Non-Asia Fund / Non-Asia Firm if no fund)","InvestorRD Level","LP Deal",42,,,"LPDealNonAsia",,,,,
5,"LP Deal conditional Asia (only due to with GP participation) (by Asia Fund / Asia Firm if no fund)","Exclude",,43,,,"LPDealAsia",,,,,
6,"LP Deal conditional Non-Asia (only due to with GP participation) (by Non-Asia Fund / Non-Asia Firm if no fund)","Exclude",,44,,,"LPDealNonAsia",,,,,
7,"No (Other investor, Non-GP/ Non-LP)","InvestorRD Level",,51,,,,,,,,
9,"GP only","Deal Level",,71,,,,,,,,
10,"GP and LP","Deal Level",,72,,,,,,,,
11,"LP only","Deal Level",,73,,,,,,,,
12,"Non-PE Deal (GP Asia but Exclude)","InvestorRD Level",,14,,,,,,,,
13,"Non-PE Deal (GP Non-Asia but Exclude)","InvestorRD Level",,15,,,,,,,,
14,"Non-PE Deal (LP Asia but Exclude)","InvestorRD Level",,45,,,,,,,,
15,"Non-PE Deal (LP Non-Asia but Exclude)","InvestorRD Level",,46,,,,,,,,
16,"Corp Venture Deal Asia (by Asia Fund / Asia Firm if no fund)","InvestorRD Level","GP Deal",31,,,"GPDealAsia",,,,,
17,"Corp Venture Deal Non-Asia (by Non-Asia Fund / Non-Asia Firm if no fund)","InvestorRD Level","GP Deal",32,,,"GPDealNonAsia",,,,,
18,"Non-PE Deal (Corp Venture Asia but Exclude)","InvestorRD Level",,33,,,,,,,,
19,"Non-PE Deal (Corp Venture Non-Asia but Exclude)","InvestorRD Level",,34,,,,,,,,
21,"___________________________________________","InvestorRD Level","Separator",30,,,,,,,,
22,"___________________________________________","InvestorRD Level","Separator",40,,,,,,,,
23,"___________________________________________","InvestorRD Level","Separator",50,,,,,,,,
24,"___________________________________________","InvestorRD Level","Separator",20,,,,,,,,
25,"Hedge Fund Deal Asia (by Asia Fund / Asia Firm if no fund)","InvestorRD Level","GP Deal",21,,,"GPDealAsia",,,,,
26,"Hedge Fund Deal Non-Asia (by Non-Asia Fund / Non-Asia Firm if no fund)","InvestorRD Level","GP Deal",22,,,"GPDealNonAsia",,,,,
27,"Non-PE Deal (Hedge Fund Asia but Exclude)","InvestorRD Level",,23,,,,,,,,
28,"Non-PE Deal (Hedge Fund Non-Asia but Exclude)","InvestorRD Level",,24,,,,,,,,
29,"GP Deal Cross-border Investor","InvestorRD Level","GP Deal",13,,,"GPDealCrossBorder",,,,,
30,"Non-GP Deal (Cross-border Investor but Exclude)","InvestorRD Level",,16,,,,,,,,
31,"------ items below are for old record only ------","InvestorRD Level","Separator",81,,,,,,,,
32,"(GP Deal - for old record only)","InvestorRD Level","GP Deal",82,,,"GPDealAsia","Added in Jul 2023 to handle old investment record.  Assume the deal is counted as PE and has Asia element.",,,,
33,"(Hedge Fund Deal - for old record only)","InvestorRD Level","GP Deal",83,,,"GPDealAsia","Added in Jul 2023 to handle old investment record.  Assume the deal is counted as PE and has Asia element.",,,,
34,"(Corp Venture Deal - for old record only)","InvestorRD Level","GP Deal",84,,,"GPDealAsia","Added in Jul 2023 to handle old investment record.  Assume the deal is counted as PE and has Asia element.",,,,
35,"(LP Deal - for old record only)","InvestorRD Level","LP Deal",85,,,"LPDealAsia","Added in Jul 2023 to handle old investment record.  Assume the deal is counted as PE and has Asia element.",,,,
36,"(No - Other Investor - for old record only)","InvestorRD Level",,86,,,,"Added in Jul 2023 to handle old investment record.",,,,
37,"___________________________________________","InvestorRD Level","Separator",80,,,,,,,,
