ID_FundRdCateMain,FundingRd_Cate_Main,Display FundingRd_Cate_Main,Ranking of FundingRd_Cate_Main in MsAccess,Note_internal,Example,Show item in Dropdown List
1,"Angel","Angel",1,,,1
2,"Seed","Seed",2,,,1
3,"Pre-IPO","Pre-IPO",88,,,1
4,"Others","Others",99,,,1
5,"A","A",31,,,1
6,"B","B",32,,,1
7,"C","C",33,,,1
8,"D","D",34,,,1
9,"E","E",35,,,1
10,"F","F",36,,,1
11,"G","G",37,,,1
12,"H","H",38,,,1
13,"I","I",39,,,1
14,"J","J",40,,,1
15,"K","K",41,,,1
16,"Bridge round","Bridge round",87,,,1
17,"L","L",42,,,1
18,"M","M",43,,,1
19,"N","N",44,,,1
20,"O","O",45,,,1
21,"P","P",46,,,1
22,"Q","Q",47,,,1
23,"R","R",48,,,1
24,"S","S",49,,,1
25,"T","T",50,,,1
26,"U","U",51,,,1
27,"V","V",52,,,1
28,"W","W",53,,,1
29,"X","X",54,,,1
30,"Y","Y",55,,,1
31,"Z","Z",56,,,1
