ID_Month,Month_internal_use,Ranking of Month in MsAccess,Displayed Month of Invest in Databank,month_number
1,"Unknown month",1,"Q4","12"
2,"Q1",2,"Q1","03"
3,"Q2",3,"Q2","06"
4,"Q3",4,"Q3","09"
5,"Q4",5,"Q4","12"
6,"H1",6,"Q2","06"
7,"H2",7,"Q4","12"
8,"01 (Jan)",8,"Q1","01"
9,"02 (Feb)",9,"Q1","02"
10,"03 (Mar)",10,"Q1","03"
11,"04 (Apr)",11,"Q2","04"
12,"05 (May)",12,"Q2","05"
13,"06 (Jun)",13,"Q2","06"
14,"07 (Jul)",14,"Q3","07"
15,"08 (Aug)",15,"Q3","08"
16,"09 (Sep)",16,"Q3","09"
17,"10 (Oct)",17,"Q4","10"
18,"11 (Nov)",18,"Q4","11"
19,"12 (Dec)",19,"Q4","12"
