id_stock_exchange,info_type,db_related_module,stock_exchange,board of stock exchange,stock_exchange_and_board,link_country_id_stock_exchange_location,ranking_of_stock_exchange_and_board_ in_MsAccess,displayed_stock_exchange_and_board_in_databank_level_1,displayed_stock_exchange_and_board_in_databank_level_2,ranking_of_stock_exchange_and_board_ in_databank,show_in_msaccess_menu_investmentdb,show_in_msaccess_menu_divestdb,Example,Note_internal
1,,"any","Australian Securities Exchange",,"Australian Securities Exchange",3,,,,,0,1,,
2,,"any","B3",,"B3",9,,,,,1,1,,
3,,"any","Bombay Stock Exchange / National Stock Exchange",,"Bombay Stock Exchange / National Stock Exchange",18,,,,,1,1,,
4,,"any","Bursa Malaysia",,"Bursa Malaysia",29,,,,,1,1,,
5,,"any","Bursa Malaysia","MESDAQ","Bursa Malaysia (MESDAQ)",29,,,,,1,1,,
6,,"any","Colombo Stock Exchange",,"Colombo Stock Exchange",,,,,,1,1,,
7,,"any","Euronext Paris",,"Euronext Paris",,,,,,1,1,,
8,,"any","Frankfurt Stock Exchange",,"Frankfurt Stock Exchange",16,,,,,1,1,,
9,,"any","Fukuoka Stock Exchange",,"Fukuoka Stock Exchange",23,,,,,1,1,,
10,,"any","GreTai Securities Market",,"GreTai Securities Market",52,,,,,1,1,,
11,,"any","Hochiminh Stock Exchange",,"Hochiminh Stock Exchange",57,,,,,1,1,,
12,,"any","Hong Kong Stock Exchange",,"Hong Kong Stock Exchange",17,,,,,1,1,,
13,,"any","Hong Kong Stock Exchange","GEM","Hong Kong Stock Exchange (GEM)",17,,,,,1,1,,
14,,"any","Indonesia Stock Exchange",,"Indonesia Stock Exchange",17,,,,,1,1,,
15,,"any","Korea Exchange",,"Korea Exchange",47,,,,,1,1,,
16,,"any","Korea Exchange","KOSDAQ","Korea Exchange (KOSDAQ)",47,,,,,1,1,,
17,,"any","London Stock Exchange",,"London Stock Exchange",56,,,,,1,1,,
18,,"any","London Stock Exchange","AIM","London Stock Exchange (AIM)",56,,,,,1,1,,
19,,"any","Nagoya Stock Exchange",,"Nagoya Stock Exchange",23,,,,,1,1,,
20,,"any","Nagoya Stock Exchange","Centrex","Nagoya Stock Exchange (Centrex)",23,,,,,1,1,,
21,,"any","NASDAQ",,"NASDAQ",54,,,,,1,1,,
22,,"any","NEEQ",,"NEEQ",38,,,,,1,1,,
23,,"any","New York Stock Exchange",,"New York Stock Exchange",54,,,,,1,1,,
24,,"any","New Zealand Stock Exchange",,"New Zealand Stock Exchange",34,,,,,1,1,,
25,,"any","NYSE American",,"NYSE American",54,,,,,1,1,,
26,,"any","Osaka Stock Exchange",,"Osaka Stock Exchange",23,,,,,1,1,,
27,,"any","Oslo Stock Exchange",,"Oslo Stock Exchange",35,,,,,1,1,,
28,,"any","OTC Bulletin Board Market",,"OTC Bulletin Board Market",,,,,,1,1,,
29,,"any","Philippine Stock Exchange",,"Philippine Stock Exchange",39,,,,,1,1,,
30,,"any","PLUS Markets",,"PLUS Markets",,,,,,1,1,,
31,,"any","Sapporo Stock Exchange",,"Sapporo Stock Exchange",23,,,,,1,1,,
32,,"any","Sapporo Stock Exchange","Ambitious Market","Sapporo Stock Exchange (Ambitious Market)",23,,,,,1,1,,
33,,"any","Shanghai Stock Exchange",,"Shanghai Stock Exchange",38,,,,,1,1,,
34,,"any","Shanghai Stock Exchange","STAR","Shanghai Stock Exchange (STAR)",38,,,,,1,1,,
35,,"any","Shenzhen Stock Exchange",,"Shenzhen Stock Exchange",38,,,,,1,1,,
36,,"any","Shenzhen Stock Exchange","ChiNext","Shenzhen Stock Exchange (ChiNext)",38,,,,,1,1,,
37,,"any","Shenzhen Stock Exchange","SME","Shenzhen Stock Exchange (SME)",38,,,,,1,1,,
38,,"any","Singapore Exchange",,"Singapore Exchange",45,,,,,1,1,,
39,,"any","Six Swiss Exchange",,"Six Swiss Exchange",51,,,,,1,1,,
40,,"any","Stockholm Stock Exchange",,"Stockholm Stock Exchange",50,,,,,1,1,,
41,,"any","Taipei Exchange","Emerging","Taipei Exchange (Emerging)",52,,,,,1,1,,
42,,"any","Taipei Exchange","Main","Taipei Exchange (Main)",52,,,,,1,1,,
43,,"any","Taiwan OTC Market",,"Taiwan OTC Market",52,,,,,1,1,,
44,,"any","Taiwan Stock Exchange",,"Taiwan Stock Exchange",52,,,,,1,1,,
45,,"any","Thailand Stock Exchange",,"Thailand Stock Exchange",53,,,,,1,1,,
46,,"any","Tokyo Stock Exchange",,"Tokyo Stock Exchange",23,,,,,1,1,,
47,,"any","Tokyo Stock Exchange","Growth","Tokyo Stock Exchange (Growth)",23,,,,,1,1,,
48,,"any","Tokyo Stock Exchange","JASDAQ","Tokyo Stock Exchange (JASDAQ)",23,,,,,1,1,,
49,,"any","Tokyo Stock Exchange","Mothers","Tokyo Stock Exchange (Mothers)",23,,,,,1,1,,
50,,"any","Tokyo Stock Exchange","Prime","Tokyo Stock Exchange (Prime)",23,,,,,1,1,,
51,,"any","Tokyo Stock Exchange","Standard","Tokyo Stock Exchange (Standard)",23,,,,,1,1,,
52,,"any","Toronto Stock Exchange",,"Toronto Stock Exchange",12,,,,,1,1,,
53,,"any","Nagoya Stock Exchange","Next","Nagoya Stock Exchange (Next)",23,,,,,1,1,,
